matrix,n,nnz,c1,c2,c4,c8,c16,c32,c64,c128,best,best@c
1138_bus,1138,2596,0.000551,0.000667,0.000547,0.000539,0.000715,0.001030,0.002448,0.002867,0.000539,8
apache1,80800,311492,0.533302,0.301105,0.167844,0.114245,0.095338,0.094129,0.142056,0.211949,0.094129,32
apache2,715176,2766523,9.792590,5.151347,2.839512,1.673431,1.161570,1.045292,1.245106,1.907720,1.045292,32
bundle1,10581,390741,0.129427,0.096324,0.078248,0.079465,0.086010,0.084294,0.092225,0.096120,0.078248,4
consph,83334,3046907,5.419736,3.148580,1.740355,1.176150,0.950521,0.884223,0.892708,0.877051,0.877051,128
ct20stif,52329,1375396,0.523308,0.347849,0.278191,0.238664,0.228203,0.227528,0.237925,0.268142,0.227528,32
Emilia_923,923136,20964171,443.266303,229.943023,124.148536,68.446814,40.292463,27.323239,20.211392,17.148360,17.148360,128
Fault_639,638802,14626683,249.347902,134.815839,73.262736,41.282904,25.375567,15.454802,13.291679,11.623875,11.623875,128
gyro_k,17361,519260,0.092916,0.082299,0.070768,0.073995,0.077941,0.079120,0.082466,0.085936,0.070768,4
gyro_m,17361,178896,0.033342,0.031216,0.026827,0.027681,0.026679,0.029197,0.033898,0.044530,0.026679,16
inline_1,503712,18660027,9.536328,5.865393,4.088276,3.252600,2.879311,2.625757,2.520549,2.736573,2.520549,64
ldoor,952203,23737339,8.231337,5.632100,4.165968,3.461792,2.968326,2.956747,3.310328,3.851070,2.956747,32
msc10848,10848,620313,0.121039,0.102955,0.083034,0.087562,0.098405,0.101039,0.108402,0.104360,0.083034,4
msc23052,23052,588933,0.135176,0.102338,0.083293,0.078764,0.086020,0.094340,0.102193,0.111965,0.078764,8
offshore,259789,2251231,4.605246,2.596415,1.484767,0.987033,0.767824,0.670524,0.746080,0.893928,0.670524,32
s3dkq4m2,90449,2455670,0.736513,0.483088,0.362487,0.306962,0.286297,0.276851,0.294272,0.326033,0.276851,32
s3dkt3m2,90449,1921955,0.655392,0.433489,0.314044,0.271194,0.250022,0.245298,0.260126,0.304800,0.245298,32
