matrix,n,nnz,c1,c2,c4,c8,c16,c32,c64,c128,best,best@c
consph,83334,3046907,5.318316,3.279422,2.079369,1.512179,1.231868,0.993196,1.400614,3.235934,0.993196,32
ct20stif,52329,1375396,0.404315,0.272936,0.179192,0.144933,0.134835,0.162304,0.280356,0.709794,0.134835,16
Emilia_923,923136,20964171,322.245493,175.551200,95.800054,58.014273,43.628270,40.331558,29.662752,52.043686,29.662752,64
Fault_639,638802,14626683,194.213652,108.161954,58.282827,36.261238,27.020560,23.652488,19.021903,35.285260,19.021903,64
gyro_k,17361,519260,0.064892,0.053839,0.045213,0.042440,0.039467,0.061526,0.095910,2.774553,0.039467,16
gyro_m,17361,178896,0.036325,0.035951,0.032236,0.030532,0.030837,0.036890,0.145236,1.568693,0.030532,8
inline_1,503712,18660027,7.861955,4.850984,2.840426,1.881090,1.373912,1.478580,1.816653,4.817655,1.373912,16
ldoor,952203,23737339,5.791411,3.765779,2.205553,1.526465,1.068511,1.108887,1.302606,3.736636,1.068511,16
msc10848,10848,620313,0.089525,0.070724,0.051055,0.047331,0.053536,0.073199,0.124927,0.224403,0.047331,8
msc23052,23052,588933,0.112207,0.087629,0.060043,0.053950,0.051378,0.072054,0.115740,2.384682,0.051378,16
offshore,259789,2251231,3.923948,2.406297,1.413460,0.946895,0.758069,0.802439,1.169690,3.450663,0.758069,16
s3dkq4m2,90449,2455670,0.621849,0.429521,0.256903,0.195554,0.170723,0.260420,0.418177,0.985503,0.170723,16
s3dkt3m2,90449,1921955,0.587536,0.402439,0.241559,0.187847,0.170872,0.234278,0.351442,0.881400,0.170872,16
