matrix,n,nnz,c1,c2,c4,c8,c16,c32,c64,c128,best,best@c
inla_graph_stcov,24300,7388370,0.866090,0.436645,0.251102,0.553140,0.367775,0.081467,0.074676,0.063614,0.063614,128
inla_graph_yU0G1u,1517823,9238726,0.708864,0.476388,0.261334,0.243574,0.404944,0.820837,2.116769,4.706401,0.243574,8
inline_1,503712,18660027,9.077554,5.920075,3.300316,1.639140,1.144440,1.219256,1.061290,0.635909,0.635909,128
ldoor,952203,23737339,7.886069,4.263542,2.186389,1.207949,0.693107,0.557422,0.560360,0.938967,0.557422,32
m_t1,97578,4925574,NA,NA,NA,0.205364,0.120909,0.080525,0.080667,0.139256,0.080525,32
msc10848,10848,620313,0.054408,0.028201,0.014146,0.008791,0.006134,0.005629,0.006160,0.005859,0.005629,32
msc23052,23052,588933,0.081310,0.040878,0.022930,0.012597,0.008971,0.007825,0.009786,0.009865,0.007825,32
nasa2910,2910,88603,0.004843,0.003088,0.001866,0.001701,0.001879,0.001692,0.001943,0.001699,0.001692,32
nasa4704,4704,54730,0.007595,0.003893,0.002876,0.002383,0.002303,0.002167,0.002105,0.002168,0.002105,64
nasasrb,54870,1366097,0.332113,0.181237,0.092385,0.051338,0.029732,0.024257,0.028255,0.040473,0.024257,32
nd12k,36000,7128473,30.412964,16.340798,8.122488,4.575363,2.399217,1.861777,1.832265,1.484271,1.484271,128
nd3k,9000,1644345,1.333606,0.699700,0.364468,0.214651,0.118425,0.086831,0.087949,0.103173,0.086831,32
nd6k,18000,3457658,6.760745,3.304943,1.750111,0.930264,0.498571,0.343187,0.296838,0.450072,0.296838,64
offshore,259789,2251231,23.927014,12.374635,6.480328,3.711691,1.989202,1.389138,1.387831,2.314883,1.387831,64
oilpan,73752,1835470,0.355402,0.189557,0.098071,0.054641,0.033319,0.029655,0.032782,0.048679,0.029655,32
parabolic_fem,525825,2100225,1.471077,0.806027,0.422408,0.229541,0.154669,0.134082,0.149925,0.201127,0.134082,32
pwtk,217918,5926171,1.724550,1.009281,0.506419,0.278998,0.155583,0.113123,0.113899,0.142538,0.113123,32
s3dkq4m2,90449,2455670,0.661572,0.337701,0.185205,0.094982,0.053934,0.048238,0.060431,0.086667,0.048238,32
s3dkt3m2,90449,1921955,0.582833,0.312717,0.162515,0.086584,0.050517,0.043491,0.048815,0.080516,0.043491,32
ship_001,34920,2339575,0.576453,0.310459,0.189763,0.176390,0.175855,0.178019,0.178182,0.177781,0.175855,16
ship_003,121728,4103881,6.005847,3.272611,1.634894,0.863980,0.464842,0.332870,0.260681,0.418378,0.260681,64
shipsec1,140874,3977139,2.539453,1.404818,0.731984,0.405427,0.228418,0.203696,0.209562,0.283692,0.203696,32
shipsec5,179860,5146478,4.137972,2.212382,1.126903,0.611912,0.350022,0.282882,0.325997,0.357024,0.282882,32
shipsec8,114919,3384159,3.276203,1.611827,0.846420,0.445622,0.262707,0.205628,0.190205,0.298534,0.190205,64
smt,25710,1889447,NA,NA,NA,0.085061,0.050563,0.040091,0.044900,0.083207,0.040091,32
thermal1,82654,328556,0.077424,0.039245,0.020273,0.012016,0.008215,0.006364,0.008025,0.010703,0.006364,32
thermomech_TC,102158,406858,0.115249,0.059533,0.032506,0.021707,0.016280,0.015501,0.020721,0.027774,0.015501,32
thermomech_TK,102158,406858,0.113605,0.059553,0.032512,0.021603,0.016262,0.015475,0.020449,0.027935,0.015475,32
thermomech_dM,204316,813716,0.227910,0.122558,0.063817,0.037277,0.025386,0.023324,0.027834,0.043511,0.023324,32
thread,29736,2249892,NA,NA,NA,0.337266,0.179517,0.132567,0.118135,0.135882,0.118135,64
tmt_sym,726713,2903837,1.925726,1.059180,0.542752,0.299737,0.175601,0.136964,0.140553,0.179273,0.136964,32
