arch,library,host,group,matrix,n,nnz_upper,mtype,cores,rep,analyze_s,factor_s,factor_gflops,factor_nnz,fill_ratio,solve1_s,solve8_s,solve40_s,logdet,status
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk09.mtx,1083,9760,2,4,3,0.008219,0.000509,5.894,55008,5.636,0.000077,0.000449,0.001141,17170.25239,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk09.mtx,1083,9760,2,8,1,0.008194,0.000354,8.473,54096,5.543,0.000088,0.000657,0.000907,17170.25239,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk09.mtx,1083,9760,2,8,2,0.008498,0.000355,8.451,54096,5.543,0.000077,0.000787,0.000888,17170.25239,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk09.mtx,1083,9760,2,8,3,0.008227,0.000365,8.219,54096,5.543,0.000077,0.000695,0.000990,17170.25239,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk09.mtx,1083,9760,2,16,1,0.009234,0.000309,9.709,54096,5.543,0.000077,0.000711,0.001058,17170.25239,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk09.mtx,1083,9760,2,16,2,0.009215,0.000370,8.108,54096,5.543,0.000077,0.000623,0.000944,17170.25239,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk09.mtx,1083,9760,2,16,3,0.009297,0.000302,9.931,54096,5.543,0.000076,0.000643,0.001011,17170.25239,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk09.mtx,1083,9760,2,32,1,0.011596,0.000295,10.172,54096,5.543,0.000077,0.000734,0.001324,17170.25239,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk09.mtx,1083,9760,2,32,2,0.011282,0.000298,10.066,54096,5.543,0.000076,0.000676,0.001204,17170.25239,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk09.mtx,1083,9760,2,32,3,0.010936,0.000292,10.280,54096,5.543,0.000076,0.000780,0.001311,17170.25239,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk09.mtx,1083,9760,2,40,1,0.012030,0.000303,9.900,54096,5.543,0.000076,0.000741,0.001359,17170.25239,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk09.mtx,1083,9760,2,40,2,0.012333,0.000303,9.900,54096,5.543,0.000077,0.000726,0.001327,17170.25239,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk09.mtx,1083,9760,2,40,3,0.013032,0.000302,9.931,54096,5.543,0.000077,0.001303,0.001343,17170.25239,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk10.mtx,1086,11578,2,1,1,0.004195,0.000648,1.543,31654,2.734,0.000065,0.000397,0.001038,14238.30793,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk10.mtx,1086,11578,2,1,2,0.004110,0.000662,1.510,31654,2.734,0.000066,0.000405,0.001049,14238.30793,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk10.mtx,1086,11578,2,1,3,0.004010,0.000656,1.525,31654,2.734,0.000066,0.000399,0.001045,14238.30793,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk10.mtx,1086,11578,2,2,1,0.004025,0.000394,2.537,31654,2.734,0.000065,0.000355,0.000672,14238.30793,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk10.mtx,1086,11578,2,2,2,0.004001,0.000395,2.531,31654,2.734,0.000066,0.000352,0.000659,14238.30793,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk10.mtx,1086,11578,2,2,3,0.004005,0.000388,2.576,31654,2.734,0.000066,0.000353,0.000678,14238.30793,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk10.mtx,1086,11578,2,4,1,0.004172,0.000296,3.380,31654,2.734,0.000066,0.000328,0.000660,14238.30793,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk10.mtx,1086,11578,2,4,2,0.004173,0.000297,3.366,31654,2.734,0.000066,0.000298,0.000607,14238.30793,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk10.mtx,1086,11578,2,4,3,0.004161,0.000315,3.175,31654,2.734,0.000066,0.000301,0.000579,14238.30793,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk10.mtx,1086,11578,2,8,1,0.004771,0.000215,4.650,31654,2.734,0.000065,0.000482,0.000605,14238.30793,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk10.mtx,1086,11578,2,8,2,0.004873,0.000232,4.311,31654,2.734,0.000065,0.000507,0.000624,14238.30793,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk10.mtx,1086,11578,2,8,3,0.005215,0.000220,4.544,31654,2.734,0.000065,0.000524,0.000691,14238.30793,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk10.mtx,1086,11578,2,16,1,0.005390,0.000168,5.958,31654,2.734,0.000065,0.000447,0.000568,14238.30793,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk10.mtx,1086,11578,2,16,2,0.005386,0.000171,5.850,31654,2.734,0.000066,0.000423,0.000457,14238.30793,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk10.mtx,1086,11578,2,16,3,0.005325,0.000183,5.461,31654,2.734,0.000065,0.000396,0.000450,14238.30793,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk10.mtx,1086,11578,2,32,1,0.007129,0.000186,5.377,31654,2.734,0.000065,0.000493,0.000679,14238.30793,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk10.mtx,1086,11578,2,32,2,0.007162,0.000173,5.777,31654,2.734,0.000065,0.000495,0.000664,14238.30793,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk10.mtx,1086,11578,2,32,3,0.007154,0.000187,5.343,31654,2.734,0.000065,0.000537,0.000734,14238.30793,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk10.mtx,1086,11578,2,40,1,0.009066,0.000172,5.817,31654,2.734,0.000066,0.000592,0.000951,14238.30793,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk10.mtx,1086,11578,2,40,2,0.008556,0.000171,5.850,31654,2.734,0.000065,0.000518,0.000788,14238.30793,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk10.mtx,1086,11578,2,40,3,0.007867,0.000293,3.413,31654,2.734,0.000066,0.000544,0.000618,14238.30793,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk11.mtx,1473,17857,2,1,1,0.006503,0.001188,2.525,68772,3.851,0.000104,0.000607,0.001675,21933.87993,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk11.mtx,1473,17857,2,1,2,0.006349,0.001183,2.536,68772,3.851,0.000104,0.000609,0.001672,21933.87993,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk11.mtx,1473,17857,2,1,3,0.006277,0.001184,2.534,68772,3.851,0.000106,0.000608,0.001678,21933.87993,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk11.mtx,1473,17857,2,2,1,0.006241,0.000793,3.783,67492,3.780,0.000105,0.000565,0.001062,21933.87993,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk11.mtx,1473,17857,2,2,2,0.006262,0.000800,3.749,67492,3.780,0.000103,0.000572,0.001069,21933.87993,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk11.mtx,1473,17857,2,2,3,0.006293,0.000771,3.891,67492,3.780,0.000103,0.000578,0.001067,21933.87993,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk11.mtx,1473,17857,2,4,1,0.006567,0.000575,5.219,66099,3.702,0.000103,0.000468,0.000890,21933.87993,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk11.mtx,1473,17857,2,4,2,0.006529,0.000578,5.189,66099,3.702,0.000114,0.000543,0.000903,21933.87993,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk11.mtx,1473,17857,2,4,3,0.006499,0.000579,5.180,66099,3.702,0.000102,0.000484,0.000910,21933.87993,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk11.mtx,1473,17857,2,8,1,0.006677,0.000426,7.041,66724,3.737,0.000101,0.000711,0.000863,21933.87993,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk11.mtx,1473,17857,2,8,2,0.006892,0.000483,6.211,66724,3.737,0.000102,0.000734,0.000816,21933.87993,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk11.mtx,1473,17857,2,8,3,0.006604,0.000422,7.109,66724,3.737,0.000101,0.000718,0.000875,21933.87993,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk11.mtx,1473,17857,2,16,1,0.007205,0.000345,8.696,66724,3.737,0.000114,0.000662,0.000843,21933.87993,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk11.mtx,1473,17857,2,16,2,0.007630,0.000361,8.311,66724,3.737,0.000102,0.000675,0.000911,21933.87993,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk11.mtx,1473,17857,2,16,3,0.007646,0.000365,8.219,66724,3.737,0.000101,0.000660,0.001012,21933.87993,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk11.mtx,1473,17857,2,32,1,0.009426,0.000329,9.125,66724,3.737,0.000101,0.000708,0.001176,21933.87993,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk11.mtx,1473,17857,2,32,2,0.009522,0.000327,9.178,66724,3.737,0.000101,0.000623,0.001107,21933.87993,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk11.mtx,1473,17857,2,32,3,0.009645,0.000328,9.145,66724,3.737,0.000102,0.000660,0.001113,21933.87993,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk11.mtx,1473,17857,2,40,1,0.010276,0.000369,8.128,66724,3.737,0.000102,0.000714,0.001194,21933.87993,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk11.mtx,1473,17857,2,40,2,0.011336,0.000352,8.525,66724,3.737,0.000102,0.000663,0.001175,21933.87993,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk11.mtx,1473,17857,2,40,3,0.018895,0.007159,0.419,66724,3.737,0.000101,0.000742,0.001703,21933.87993,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk13.mtx,2003,42943,2,1,1,0.019883,0.005888,11.719,306072,7.127,0.000322,0.001504,0.004600,38330.04462,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk13.mtx,2003,42943,2,1,2,0.019407,0.005783,11.931,306072,7.127,0.000322,0.001466,0.004597,38330.04462,ok
