arch,library,host,group,matrix,n,nnz_upper,mtype,cores,rep,analyze_s,factor_s,factor_gflops,factor_nnz,fill_ratio,solve1_s,solve8_s,solve40_s,logdet,status
intel,mumps-5,cn512-16-l,group11,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,8,1,6.765250,2.941392,261.78,278682000,9.2725,0,0,0,922875.998029,ok-ord5
intel,mumps-5,cn512-16-l,group11,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,16,1,6.767833,2.650389,290.53,278682000,9.2725,0,0,0,922875.998029,ok-ord5
intel,mumps-5,cn512-16-l,group11,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,32,1,6.765843,2.411013,319.37,278682000,9.2725,0,0,0,922875.998029,ok-ord5
intel,mumps-5,cn512-16-l,group11,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,40,1,6.770136,1.981861,388.53,278682000,9.2725,0,0,0,922875.998029,ok-ord5
intel,mumps-5,cn512-16-l,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,1,1,6.741361,41.429062,58.22,489911204,15.2970,0,0,0,922876.051816,ok-ord5
intel,mumps-5,cn512-16-l,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,2,1,6.749103,23.263176,103.69,489911204,15.2970,0,0,0,922876.051816,ok-ord5
intel,mumps-5,cn512-16-l,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,4,1,6.747576,12.318003,195.83,489911204,15.2970,0,0,0,922876.051816,ok-ord5
intel,mumps-5,cn512-16-l,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,8,1,6.744722,6.795652,354.96,489911204,15.2970,0,0,0,922876.051816,ok-ord5
intel,mumps-5,cn512-16-l,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,16,1,6.745712,5.974838,403.72,489911204,15.2970,0,0,0,922876.051816,ok-ord5
intel,mumps-5,cn512-16-l,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,32,1,6.750396,4.580196,526.65,489911204,15.2970,0,0,0,922876.051816,ok-ord5
