arch,library,host,group,matrix,n,nnz_upper,mtype,cores,rep,analyze_s,factor_s,factor_gflops,factor_nnz,fill_ratio,solve1_s,solve8_s,solve40_s,logdet,status
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,16,1,11.112568,2.309739,328.10,265440239,8.8319,0,0,0,922875.998029,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,32,1,11.100188,2.222237,341.01,265440239,8.8319,0,0,0,922875.998029,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_100200_bw1.mtx,100200,30054727,2,40,1,11.104907,2.310640,327.97,265440239,8.8319,0,0,0,922875.998029,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,1,1,12.735064,36.849038,60.93,457648869,14.2896,0,0,0,922876.051816,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,2,1,12.722720,20.296352,110.62,457648869,14.2896,0,0,0,922876.051816,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,4,1,12.761824,11.257823,199.43,457648869,14.2896,0,0,0,922876.051816,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,8,1,12.732412,6.457103,347.70,457648869,14.2896,0,0,0,922876.051816,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,16,1,12.732465,4.316994,520.07,457648869,14.2896,0,0,0,922876.051816,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,32,1,12.741953,3.537490,634.67,457648869,14.2896,0,0,0,922876.051816,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_100200_bw2.mtx,100200,32026662,2,40,1,12.721962,3.609998,621.92,457648869,14.2896,0,0,0,922876.051816,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_48600_bw2.mtx,48600,35663339,2,1,1,8.696271,26.774273,61.13,267339536,7.4962,0,0,0,447622.101009,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_48600_bw2.mtx,48600,35663339,2,2,1,8.707123,14.674404,111.53,267339536,7.4962,0,0,0,447622.101009,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_48600_bw2.mtx,48600,35663339,2,4,1,8.699272,7.987493,204.90,267339536,7.4962,0,0,0,447622.101009,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_48600_bw2.mtx,48600,35663339,2,8,1,8.698298,4.649081,352.03,267339536,7.4962,0,0,0,447622.101009,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_48600_bw2.mtx,48600,35663339,2,16,1,8.703321,3.118768,524.76,267339536,7.4962,0,0,0,447622.101009,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_48600_bw2.mtx,48600,35663339,2,32,1,8.700906,2.432648,672.77,267339536,7.4962,0,0,0,447622.101009,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_48600_bw2.mtx,48600,35663339,2,40,1,8.707930,2.361488,693.04,267339536,7.4962,0,0,0,447622.101009,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_50000_bw15000.mtx,50000,7286160,2,1,1,14.980502,14.440017,48.95,134280676,18.4296,0,0,0,716715.217529,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_50000_bw15000.mtx,50000,7286160,2,2,1,14.971407,9.230358,76.59,134280676,18.4296,0,0,0,716715.217529,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_50000_bw15000.mtx,50000,7286160,2,4,1,15.019490,6.279241,112.58,134280676,18.4296,0,0,0,716715.217529,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_50000_bw15000.mtx,50000,7286160,2,8,1,14.981187,5.298726,133.41,134280676,18.4296,0,0,0,716715.217529,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_50000_bw15000.mtx,50000,7286160,2,16,1,15.002416,5.723007,123.52,134280676,18.4296,0,0,0,716715.217529,ok
intel,cholmod-5,cn512-24-l,group11,inla_graph_lgm_50000_bw15000.mtx,50000,7286160,2,32,1,15.007033,8.943091,79.05,134280676,18.4296,0,0,0,716715.217529,ok
